Time(s),ErrorX(px),ErrorY(px)
1.3711,-384.00,295.00
1.4381,-385.00,289.00
1.4961,-385.00,288.00
1.5521,-384.00,288.00
1.6102,-384.00,285.00
1.6694,-371.00,264.00
1.7272,-360.00,249.00
1.7852,-350.00,235.00
1.8432,-339.00,221.00
1.9004,-308.00,186.00
1.9562,-289.00,163.00
2.0203,-274.00,147.00
2.0794,-259.00,132.00
2.1500,-208.00,86.00
2.2070,-182.00,63.00
2.2647,-166.00,50.00
2.3214,-140.00,34.00
2.3830,-126.00,29.00
2.4440,-117.00,27.00
2.5014,-102.00,28.00
2.5592,-102.00,28.00
2.6172,-102.00,28.00
2.6733,-102.00,28.00
2.7279,-102.00,28.00
2.7858,-48.00,29.00
2.8416,-48.00,29.00
2.9015,-33.00,30.00
2.9638,-33.00,30.00
3.0249,-13.00,29.00
3.0828,-8.00,30.00
3.1438,-5.00,30.00
3.1990,-2.00,30.00
3.2598,3.00,27.00
3.3203,5.00,25.00
3.3758,6.00,22.00
3.4315,6.00,20.00
3.4879,6.00,15.00
3.5414,5.00,12.00
3.6022,6.00,10.00
3.6632,5.00,9.00
3.7510,3.00,7.00
3.8076,3.00,5.00
3.8635,2.00,5.00
3.9231,1.00,5.00
3.9816,0.00,4.00
4.0437,-1.00,4.00
4.1028,-2.00,4.00
4.1584,-2.00,4.00
4.2138,-2.00,5.00
4.2701,-2.00,5.00
4.3273,-2.00,5.00
4.3824,-2.00,5.00
4.4438,-3.00,5.00
4.5054,-3.00,5.00
4.5629,-3.00,5.00
4.6191,-4.00,5.00
4.6843,-4.00,4.00
4.7420,-5.00,4.00
4.7995,-5.00,4.00
4.8584,-5.00,4.00
4.9159,-5.00,5.00
4.9722,-4.00,5.00
5.0317,-3.00,6.00
5.0904,-2.00,6.00
5.1522,-3.00,5.00
5.2113,-3.00,4.00
5.2756,-4.00,3.00
5.3331,-4.00,5.00
5.3935,-3.00,5.00
5.4524,-3.00,6.00
5.5141,-3.00,6.00
5.5749,-2.00,5.00
5.6327,-2.00,6.00
5.6868,-2.00,5.00
5.7465,-3.00,5.00
5.8038,-4.00,4.00
5.8635,-5.00,4.00
5.9205,-6.00,5.00
5.9794,-6.00,6.00
6.0435,-5.00,7.00
6.1014,-4.00,7.00
6.1610,-3.00,7.00
6.2151,-2.00,7.00
6.2736,-2.00,7.00
6.3300,-2.00,6.00
6.3843,-3.00,5.00
6.4401,-3.00,4.00
6.4965,-4.00,4.00
6.5542,-3.00,5.00
6.6098,-3.00,5.00
6.6666,-3.00,6.00
6.7229,-3.00,6.00
6.7833,-4.00,5.00
6.8424,-5.00,5.00
6.9006,-7.00,5.00
6.9631,-9.00,4.00
7.0179,-9.00,5.00
7.0723,-10.00,6.00
7.1317,-9.00,6.00
7.1904,-6.00,6.00
7.2506,-5.00,5.00
7.3061,-5.00,4.00
7.3631,-6.00,3.00
7.4180,-8.00,2.00
7.4736,-9.00,3.00
7.5312,-8.00,4.00
7.5904,-8.00,4.00
7.6456,-8.00,5.00
7.7023,-7.00,6.00
7.7584,-7.00,6.00
7.8164,-8.00,6.00
7.8700,-8.00,6.00
7.9265,-9.00,4.00
7.9818,-9.00,4.00
8.0427,-9.00,5.00
8.0994,-9.00,5.00
8.1566,-9.00,5.00
8.2190,-9.00,6.00
8.2752,-9.00,6.00
8.3326,-9.00,6.00
8.3893,-9.00,5.00
8.4440,-10.00,4.00
8.5041,-12.00,3.00
8.5626,-12.00,2.00
8.6227,-13.00,4.00
8.6766,-14.00,4.00
8.7433,-14.00,5.00
8.7991,-15.00,5.00
8.8600,-15.00,5.00
8.9178,-14.00,4.00
8.9741,-13.00,5.00
9.0294,-13.00,5.00
9.0877,-12.00,5.00
9.1424,-11.00,4.00
9.1991,-10.00,4.00
9.2574,-8.00,4.00
9.3134,-7.00,4.00
9.3715,-5.00,5.00
9.4261,-5.00,5.00
9.4828,-5.00,6.00
9.5438,-6.00,5.00
9.6022,-7.00,5.00
9.6615,-7.00,6.00
9.7192,-6.00,6.00
9.7830,-6.00,7.00
9.8434,-6.00,6.00
9.9008,-6.00,6.00
9.9597,-6.00,5.00
10.0187,-6.00,5.00
10.0848,-8.00,5.00
10.1535,-9.00,5.00
10.2208,-9.00,6.00
10.2936,-6.00,7.00
10.3623,-5.00,6.00
10.4188,-5.00,6.00
10.4825,-6.00,4.00
10.5466,-7.00,3.00
10.6060,-8.00,3.00
10.6801,-7.00,5.00
10.7462,-6.00,7.00
10.8080,-6.00,7.00
10.8686,-5.00,8.00
10.9370,-3.00,7.00
11.0010,-3.00,6.00
11.0658,-2.00,6.00
11.1306,-3.00,5.00
11.1945,-4.00,5.00
11.2549,-4.00,4.00
11.3215,-6.00,5.00
11.3904,-7.00,6.00
11.4452,-8.00,6.00
11.5023,-8.00,5.00
11.5682,-8.00,5.00
11.6301,-8.00,5.00
11.6917,-8.00,5.00
11.7525,-8.00,5.00
